device,version,seed,distribution,batch_size,learning_rate,alpha,beta,convolution_type,kernel_size,kernel_count,pool_type,linear_layer_shapes,l1_lambda,l2_lambda,dropout_p,epochs,early_stopping_criteria,best_score,trainLoss,trainAUROC,trainAccuracy,valLoss,valAUROC,valAccuracy,bothLoss,bothAUROC,bothAccuracy
redwan-colab,179,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,10,128,max,[32],0.001,0,,16,valAccuracy,0.78515625,0.2820584177970886,0.9844265580177307,0.9378262758255005,0.5562645196914673,0.8523338437080383,0.76953125,0.311628520488739,0.9710497856140137,0.9195937514305115
redwan-colab,180,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,10,256,max,[32],0.001,0,,15,valAccuracy,0.7890625,0.2659108638763428,0.9920512437820435,0.9534883499145508,0.5626276135444641,0.8519672155380249,0.7734375,0.29800090193748474,0.9787212014198303,0.933982253074646
redwan-colab,181,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,10,512,max,[32],0.001,0,,13,valAccuracy,0.78125,0.30001482367515564,0.987647533416748,0.9482676982879639,0.5655103325843811,0.8514173626899719,0.78125,0.3286992013454437,0.9739624261856079,0.9301735162734985
redwan-colab,182,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,128,max,[32],0.001,0,,17,valAccuracy,0.78515625,0.24337024986743927,0.9982382655143738,0.9667773842811584,0.677935779094696,0.8288123607635498,0.74609375,0.2903728187084198,0.983009934425354,0.942869246006012
redwan-colab,183,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,256,max,[32],0.001,0,,14,valAccuracy,0.78125,0.22921158373355865,0.997759997844696,0.9795918464660645,0.593727171421051,0.8471407890319824,0.78125,0.26851364970207214,0.9844977259635925,0.958104133605957
redwan-colab,184,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,512,max,[32],0.001,0,,3,valAccuracy,0.5625,0.6906996965408325,0.8181132674217224,0.5045087933540344,0.6973891258239746,0.6821236610412598,0.51953125,0.691418468952179,0.8029505014419556,0.5061362385749817
redwan-colab,185,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,14,128,max,[32],0.001,0,,13,valAccuracy,0.765625,0.23872816562652588,0.9977291822433472,0.9691504240036011,0.6373798847198486,0.8237414360046387,0.75,0.2816876471042633,0.9828388690948486,0.9454084038734436
redwan-colab,186,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,14,256,max,[32],0.001,0,,19,valAccuracy,0.78125,0.14202675223350525,1.0,1.0,0.6370124816894531,0.8389540910720825,0.77734375,0.19531327486038208,0.9877867698669434,0.975878119468689
redwan-colab,187,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,14,512,max,[32],0.001,0,,1,valAccuracy,0.515625,0.7015618681907654,0.5526763200759888,0.4969150424003601,0.7022849917411804,0.5706409215927124,0.484375,0.701640248298645,0.5562131404876709,0.495556503534317
redwan-colab,188,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,10,128,max,[32],0.001,0,,16,valAccuracy,0.77734375,0.25790804624557495,0.9900190830230713,0.9530137777328491,0.5667278170585632,0.8527003526687622,0.77734375,0.29119443893432617,0.9762176275253296,0.933982253074646
redwan-colab,189,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,10,256,max,[32],0.001,0,,15,valAccuracy,0.79296875,0.27530378103256226,0.996239423751831,0.9307071566581726,0.6227229833602905,0.8529447317123413,0.7421875,0.3128727674484253,0.9829182028770447,0.9102835655212402
redwan-colab,190,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,10,512,max,[32],0.001,0,,18,valAccuracy,0.79296875,0.2066919207572937,0.999614953994751,0.989084005355835,0.6101706027984619,0.8530058860778809,0.7890625,0.25029802322387695,0.9866918921470642,0.9674143195152283
redwan-colab,191,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,128,max,[32],0.001,0,,19,valAccuracy,0.765625,0.1847836822271347,0.9997775554656982,0.9957285523414612,0.6688251495361328,0.8267961740493774,0.765625,0.23719000816345215,0.9850393533706665,0.9707998037338257
redwan-colab,192,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,256,max,[32],0.001,0,,14,valAccuracy,0.78515625,0.20399151742458344,0.9993986487388611,0.991931676864624,0.6160436868667603,0.8467742204666138,0.7734375,0.2484084814786911,0.9867134094238281,0.9682607054710388
redwan-colab,193,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,512,max,[32],0.001,0,,14,valAccuracy,0.76171875,0.21646301448345184,0.9984679222106934,0.9829140901565552,0.5970051884651184,0.8560605645179749,0.734375,0.2575370967388153,0.9861093163490295,0.9559881687164307
redwan-colab,194,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,14,128,max,[32],0.001,0,,19,valAccuracy,0.76953125,0.15004944801330566,0.9990876317024231,0.9995253682136536,0.6867039203643799,0.8201979398727417,0.74609375,0.20776227116584778,0.9855650067329407,0.9720693826675415
redwan-colab,195,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,14,256,max,[32],0.001,0,,24,valAccuracy,0.78125,0.11871915310621262,1.0,1.0,0.6691004037857056,0.8401148319244385,0.78125,0.1779337078332901,0.9885504841804504,0.9763013124465942
redwan-colab,196,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,14,512,max,[32],0.001,0,,1,valAccuracy,0.515625,0.7014367580413818,0.5165081024169922,0.5030849575996399,0.7004570960998535,0.4657869338989258,0.515625,0.7013304829597473,0.5094842314720154,0.5044435262680054
redwan-colab,218,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,128,max,[32],0,0,0.9,30,valAccuracy,0.78515625,0.49064165353775024,0.9742279052734375,0.9373517036437988,0.5890895128250122,0.8453078866004944,0.7734375,0.5013009309768677,0.9614247679710388,0.9195937514305115
redwan-colab,219,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,128,max,[],0,0,0.0,16,valAccuracy,0.76171875,0.21283885836601257,0.993269145488739,0.9620313048362732,0.5185915231704712,0.8184261918067932,0.74609375,0.2458358108997345,0.9775049686431885,0.9386373162269592
redwan-colab,220,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,regular,12,128,max,[32],0,0,0.0,14,valAccuracy,0.76171875,0.08057942986488342,0.9998664259910583,0.9928808808326721,0.5705498456954956,0.8266129493713379,0.75,0.13366128504276276,0.9861568212509155,0.9665679335594177
redwan-colab,221,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,regular,12,128,max,[32],0,0,,14,valAccuracy,0.76171875,0.08057942986488342,0.9998664259910583,0.9928808808326721,0.5705498456954956,0.8266129493713379,0.75,0.13366128504276276,0.9861568212509155,0.9665679335594177
redwan-colab,222,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,regular,12,128,max,[32],0,0.001,,29,valAccuracy,0.76953125,0.026857689023017883,1.0,1.0,0.6693024039268494,0.8241691589355469,0.75390625,0.09645813703536987,0.9865866303443909,0.9733389616012573
redwan-colab,223,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,regular,12,128,max,"[64, 32, 16, 8, 4]",0,0.001,,15,valAccuracy,0.7421875,0.1276341825723648,0.9792683124542236,0.9743711352348328,0.889432430267334,0.7827468514442444,0.73828125,0.2285427451133728,0.9584909081459045,0.948793888092041
redwan-colab,224,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,128,max,"[64, 32, 16, 8, 4]",0,0.001,,35,valAccuracy,0.7578125,0.004892129451036453,0.9996365308761597,0.9995253682136536,2.0363879203796387,0.8139357566833496,0.73828125,0.22424644231796265,0.9821484684944153,0.971222996711731
redwan-colab,225,0,"[0.3, 0.2, 0.2, 0.3]",64,0.001,10,0.1,custom,12,128,max,"[64, 32, 16, 8, 4]",0,0.01,,0,valAccuracy,0.515625,0.6929548978805542,0.5313069820404053,0.5030849575996399,0.6923193335533142,0.5349462032318115,0.515625,0.6928860545158386,0.5326792001724243,0.5044435262680054
